Gene	nps_effect	dist_to_k4me1_enh_strict	dist_to_k4me2_enh_strict	dist_to_k4me1_enh_loose	dist_to_k4me2_enh_loose	within100kb_k4me1_enh	within100kb_k4me2_enh	within1Mb_k4me1_enh	within1Mb_k4me2_enh
ENSDARG00000000830	Down	978331	1005965	72766	93420	loose	loose	strict	loose
ENSDARG00000046157	Down	79059	69355	79059	68678	strict	strict	strict	strict
ENSDARG00000040439	Down	96586	347098	13397	304402	strict	no	strict	strict
ENSDARG00000104903	Down	758426	21492	346633	21492	no	strict	strict	strict
ENSDARG00000038847	Down	110743	1038888	110743	57933	no	loose	strict	loose
ENSDARG00000102060	Down	209867	650761	172309	132771	no	no	strict	strict
ENSDARG00000001859	Down	67238	58479	974	58479	strict	strict	strict	strict
ENSDARG00000001879	Down	51771	71354	51771	33648	strict	strict	strict	strict
ENSDARG00000013784	Down	4003	517727	4003	218665	strict	no	strict	strict
ENSDARG00000070914	Down	2477	113310	2477	113310	strict	no	strict	strict
ENSDARG00000051880	Down	640974	97120	640974	97120	no	strict	strict	strict
ENSDARG00000023214	Down	676752	61342	676752	61342	no	strict	strict	strict
ENSDARG00000092825	Down	528454	2076905	274970	1051106	no	no	strict	no
ENSDARG00000004594	Down	522799	2071250	269315	1056761	no	no	strict	no
ENSDARG00000045592	Down	342860	787880	77593	77834	loose	loose	strict	strict
ENSDARG00000089042	Down	2830	1847141	2830	513981	strict	no	strict	loose
ENSDARG00000031138	Down	20276	116391	20276	116391	strict	no	strict	strict
ENSDARG00000103220	Down	53553	62955	53256	62955	strict	strict	strict	strict
ENSDARG00000098142	Down	4222	43718	4222	43718	strict	strict	strict	strict
ENSDARG00000038028	Down	1030441	106394	465	41558	loose	loose	loose	strict
ENSDARG00000038398	Down	15178	1030257	15178	1030257	strict	no	strict	no
ENSDARG00000113011	Down	1036149	11341	548452	11341	no	strict	loose	strict
ENSDARG00000100148	Down	422217	1131405	422217	312146	no	no	strict	loose
ENSDARG00000087188	Down	411127	195719	38509	182200	loose	no	strict	strict
ENSDARG00000035719	Down	68137	405518	8933	9160	strict	loose	strict	strict
ENSDARG00000032619	Down	721402	170568	17133	170568	loose	no	strict	strict
ENSDARG00000040526	Down	4604	534531	4604	164972	strict	no	strict	strict
ENSDARG00000046140	Down	412957	18642	2604	18642	loose	strict	strict	strict
ENSDARG00000070676	Down	195808	37026	195808	37026	no	strict	strict	strict
ENSDARG00000088967	Down	173098	60945	102646	60945	no	strict	strict	strict
ENSDARG00000104350	Down	95642	327139	8514	7989	strict	loose	strict	strict
ENSDARG00000038068	Down	4746	4100	4746	1149	strict	strict	strict	strict
ENSDARG00000061354	Down	285587	748126	206529	16007	no	loose	strict	strict
ENSDARG00000010160	Down	40711	507225	40711	59100	strict	loose	strict	strict
ENSDARG00000019191	Down	317565	551312	5792	17672	loose	loose	strict	strict
ENSDARG00000007449	Down	478448	235378	237869	18790	no	loose	strict	strict
ENSDARG00000031776	Down	3459	444180	3459	80687	strict	loose	strict	strict
ENSDARG00000037946	Down	226347	201770	222948	82428	no	loose	strict	strict
ENSDARG00000090625	Down	3573	28194	3573	1210	strict	strict	strict	strict
ENSDARG00000096418	Down	261419	660885	123532	126300	no	no	strict	strict
ENSDARG00000037916	Down	610909	133186	268017	133186	no	no	strict	strict
ENSDARG00000077052	Down	7822	717769	7822	142490	strict	no	strict	strict
ENSDARG00000037870	Down	13127	840066	5273	20193	strict	loose	strict	strict
ENSDARG00000059680	Down	5796	886714	5796	26289	strict	loose	strict	strict
ENSDARG00000037879	Down	7575	2049	6682	2049	strict	strict	strict	strict
ENSDARG00000037838	Down	6193	94106	6193	94106	strict	strict	strict	strict
ENSDARG00000031126	Down	3108	792772	3108	792772	strict	no	strict	strict
ENSDARG00000053953	Down	45236	834900	45236	834900	strict	no	strict	strict
ENSDARG00000097098	Down	4080	321474	4080	4589	strict	loose	strict	strict
ENSDARG00000103947	Down	12317	313237	12317	3570	strict	loose	strict	strict
ENSDARG00000074768	Down	21629	303925	21629	12882	strict	loose	strict	strict
ENSDARG00000045898	Down	252798	2061	45741	2061	loose	strict	strict	strict
ENSDARG00000009262	Down	284817	1191881	237038	352916	no	no	strict	loose
ENSDARG00000045873	Down	228796	1163798	228796	408937	no	no	strict	loose
ENSDARG00000006567	Down	36505	618520	36505	41469	strict	loose	strict	strict
ENSDARG00000059053	Down	120951	930354	74146	96491	loose	loose	strict	strict
ENSDARG00000006409	Down	841020	1650423	2371	182490	loose	no	strict	loose
ENSDARG00000045835	Down	848836	1658239	5334	190306	loose	no	strict	loose
ENSDARG00000032765	Down	5433	446876	500	185787	strict	no	strict	strict
ENSDARG00000045694	Down	3247	2719	3247	2719	strict	strict	strict	strict
ENSDARG00000056954	Down	270652	516287	3209	8674	loose	loose	strict	strict
ENSDARG00000056950	Down	252044	534895	14926	7750	loose	loose	strict	strict
ENSDARG00000016526	Down	72541	1854377	72541	513010	strict	no	strict	loose
ENSDARG00000045525	Down	268451	1865042	228067	227848	no	no	strict	loose
ENSDARG00000098221	Down	22362	1338894	10719	584	strict	loose	strict	loose
ENSDARG00000076272	Down	94328	253007	88636	101564	strict	no	strict	strict
ENSDARG00000023036	Down	5280	378261	5280	107489	strict	no	strict	strict
ENSDARG00000104041	Down	71959	492646	71959	6330	strict	loose	strict	strict
ENSDARG00000116181	Down	526006	100340	19015	100340	loose	no	strict	strict
ENSDARG00000092140	Down	577857	152191	32554	152191	loose	no	strict	strict
ENSDARG00000111979	Down	1003715	630487	2266	114817	loose	no	loose	strict
ENSDARG00000100142	Down	940310	693892	65671	178222	loose	no	strict	strict
ENSDARG00000099837	Down	939676	694526	66305	178856	loose	no	strict	strict
ENSDARG00000104074	Down	774911	859291	231070	91604	no	loose	strict	strict
ENSDARG00000113016	Down	584153	1050049	142985	98990	no	loose	strict	loose
ENSDARG00000115818	Down	371854	1262348	69229	248328	loose	no	strict	loose
ENSDARG00000114172	Down	146963	1629152	146963	270973	no	no	strict	loose
ENSDARG00000111875	Down	357932	886967	357932	71574	no	loose	strict	strict
ENSDARG00000089814	Down	99050	429880	99050	84772	strict	loose	strict	strict
ENSDARG00000094308	Down	37191	111476	1353	111476	strict	no	strict	strict
ENSDARG00000086449	Down	9302	254860	9302	254860	strict	no	strict	strict
ENSDARG00000090366	Down	94775	340333	94775	340333	strict	no	strict	strict
ENSDARG00000096188	Down	199747	445305	199747	445305	no	no	strict	strict
ENSDARG00000100961	Down	215264	78271	215264	78271	no	strict	strict	strict
ENSDARG00000098758	Down	215732	78739	215732	78739	no	strict	strict	strict
ENSDARG00000104681	Down	26479	882655	26479	882655	strict	no	strict	strict
ENSDARG00000108175	Down	325630	1181806	325630	1162367	no	no	strict	no
ENSDARG00000100896	Down	471912	1328088	471912	1016085	no	no	strict	no
ENSDARG00000098179	Down	688226	1544402	669467	799771	no	no	strict	loose
ENSDARG00000103405	Down	736815	1592991	620878	751182	no	no	strict	loose
ENSDARG00000098958	Down	819931	1676107	537762	668066	no	no	strict	loose
ENSDARG00000114124	Down	942914	1799090	414779	545083	no	no	strict	loose
ENSDARG00000110670	Down	1654038	1808205	164553	165955	no	no	loose	loose
ENSDARG00000110433	Down	2041533	1291847	680911	460894	no	no	loose	loose
ENSDARG00000115506	Down	1867496	1117810	854948	286857	no	no	loose	loose
ENSDARG00000111831	Down	1837200	1087514	875044	256561	no	no	loose	loose
ENSDARG00000091062	Down	960668	210982	1377	210982	loose	no	strict	strict
ENSDARG00000101731	Down	956835	207149	5210	207149	loose	no	strict	strict
ENSDARG00000109864	Down	760508	10822	201537	10822	no	strict	strict	strict
ENSDARG00000076160	Down	143715	34434	142030	34434	no	strict	strict	strict
ENSDARG00000098510	Down	95946	82203	94261	82203	strict	strict	strict	strict
ENSDARG00000095149	Down	179543	160844	179543	78093	no	loose	strict	strict
ENSDARG00000092583	Down	247854	229155	247854	9782	no	loose	strict	strict
ENSDARG00000092596	Down	492076	473377	492076	234363	no	no	strict	strict
ENSDARG00000102370	Down	503060	530618	503060	291604	no	no	strict	strict
ENSDARG00000098071	Down	251310	782368	251310	543354	no	no	strict	strict
ENSDARG00000102316	Down	242153	791525	242153	552511	no	no	strict	strict
ENSDARG00000102837	Down	15767	1017911	15767	528798	strict	no	strict	loose
ENSDARG00000103441	Down	47090	1080853	47090	465856	strict	no	strict	loose
ENSDARG00000094017	Down	486573	2076403	486573	529555	no	no	strict	loose
ENSDARG00000096000	Down	801141	2390971	801141	332215	no	no	strict	loose
ENSDARG00000096109	Down	1934225	3524055	351955	87965	no	loose	loose	loose
ENSDARG00000097091	Down	1990070	3579900	296110	143810	no	no	loose	loose
ENSDARG00000088640	Down	1961994	3613301	262709	177211	no	no	loose	loose
ENSDARG00000086296	Down	1700545	3807215	1260	438660	loose	no	loose	loose
ENSDARG00000090769	Down	1457304	3563974	238189	681901	no	no	loose	loose
ENSDARG00000116216	Down	1426804	3533474	268689	712401	no	no	loose	loose
ENSDARG00000088861	Down	1378065	3484735	317428	761140	no	no	loose	loose
ENSDARG00000117096	Down	1298475	3405145	397018	840730	no	no	loose	loose
ENSDARG00000100214	Down	1235364	3342034	460129	903841	no	no	loose	loose
ENSDARG00000111026	Down	75389	2030958	75389	477656	strict	no	strict	loose
ENSDARG00000098878	Down	108911	1997436	108911	444134	no	no	strict	loose
ENSDARG00000114645	Down	642341	1464006	642341	89211	no	loose	strict	loose
ENSDARG00000104932	Down	730869	1375478	730869	177739	no	no	strict	loose
ENSDARG00000098986	Down	1083402	1022945	969246	47329	no	loose	loose	loose
ENSDARG00000093865	Down	1314850	129629	75930	73877	loose	loose	loose	strict
ENSDARG00000101245	Down	1228286	43065	10551	11004	loose	strict	loose	strict
ENSDARG00000092000	Down	1095603	89463	31215	89463	loose	strict	loose	strict
ENSDARG00000096172	Down	1062793	122273	1417	122273	loose	no	loose	strict
ENSDARG00000087645	Down	908029	277037	98680	277037	loose	no	strict	strict
ENSDARG00000116211	Down	363188	821878	363188	42019	no	loose	strict	strict
ENSDARG00000097059	Down	258062	927004	258062	62991	no	loose	strict	strict
ENSDARG00000107506	Down	110171	1507780	110171	643767	no	no	strict	loose
ENSDARG00000093424	Down	224136	1621745	224136	757732	no	no	strict	loose
ENSDARG00000091477	Down	227876	1625485	227876	761472	no	no	strict	loose
ENSDARG00000094888	Down	356818	1754427	356818	890414	no	no	strict	loose
ENSDARG00000102791	Down	466314	1863923	466314	999910	no	no	strict	loose
ENSDARG00000110946	Down	644603	2042212	644603	1178199	no	no	strict	no
ENSDARG00000093994	Down	649170	2046779	649170	1182766	no	no	strict	no
ENSDARG00000094177	Down	814260	2211869	814260	1347856	no	no	strict	no
ENSDARG00000116625	Down	880902	2480275	880902	1616262	no	no	strict	no
ENSDARG00000100311	Down	498822	2862355	498822	1998342	no	no	strict	no
ENSDARG00000109740	Down	96257	3485877	96257	1780405	strict	no	strict	no
ENSDARG00000116023	Down	6269	3700978	6269	1565304	strict	no	strict	no
ENSDARG00000109339	Down	1346958	5211225	629465	55057	no	loose	loose	loose
ENSDARG00000112126	Down	1622193	5545585	295105	1021	no	loose	loose	loose
ENSDARG00000098426	Down	948302	6219476	49139	374573	loose	no	strict	loose
ENSDARG00000104262	Down	807363	6360415	91653	412492	loose	no	strict	loose
ENSDARG00000099670	Down	206448	6961330	206448	188239	no	no	strict	loose
ENSDARG00000110323	Down	303205	7471082	303205	565121	no	no	strict	loose
ENSDARG00000113022	Down	309230	7477107	309230	559096	no	no	strict	loose
ENSDARG00000099845	Down	467561	7635438	408964	400765	no	no	strict	loose
ENSDARG00000092938	Down	873257	8041134	3268	4778	loose	loose	strict	loose
ENSDARG00000103417	Down	1050359	8218236	173754	181880	no	no	loose	loose
ENSDARG00000101137	Down	1126283	8294160	249678	257804	no	no	loose	loose
ENSDARG00000103400	Down	1153489	8321366	276884	285010	no	no	loose	loose
ENSDARG00000103091	Down	774927	9203506	771116	811234	no	no	strict	loose
ENSDARG00000100723	Down	664120	9092699	660309	700427	no	no	strict	loose
ENSDARG00000104697	Down	601843	9030422	598032	638150	no	no	strict	loose
ENSDARG00000110637	Down	295013	8723592	291202	331320	no	no	strict	loose
ENSDARG00000098536	Down	36404	8392076	1406	53	strict	loose	strict	loose
ENSDARG00000093220	Down	402542	8025938	360769	34605	no	loose	strict	loose
ENSDARG00000096210	Down	703703	7724777	59608	266483	loose	no	strict	loose
ENSDARG00000109366	Down	758391	7670089	4920	321171	loose	no	strict	loose
ENSDARG00000094653	Down	1050075	7378405	286671	612855	no	no	loose	loose
ENSDARG00000092080	Down	2203693	6224787	1440289	1766473	no	no	no	no
ENSDARG00000097347	Down	2283097	6145383	1519693	1845877	no	no	no	no
ENSDARG00000104006	Down	2657627	5371730	2293346	2619530	no	no	no	no
ENSDARG00000098094	Down	2507697	5221800	2291547	2769460	no	no	no	no
ENSDARG00000100329	Down	2453469	5167572	2237319	2823688	no	no	no	no
ENSDARG00000100509	Down	1572202	4286305	1356052	2522642	no	no	no	no
ENSDARG00000110769	Down	603850	3317953	387700	1554290	no	no	strict	no
ENSDARG00000091994	Down	603500	3317603	387350	1553940	no	no	strict	no
ENSDARG00000101946	Down	583459	3297562	367309	1533899	no	no	strict	no
ENSDARG00000104737	Down	176237	2537620	176237	773957	no	no	strict	loose
ENSDARG00000111998	Down	231585	2482272	231585	718609	no	no	strict	loose
ENSDARG00000105219	Down	287283	2215966	287283	452303	no	no	strict	loose
ENSDARG00000098199	Down	237097	2165780	237097	402117	no	no	strict	loose
ENSDARG00000112586	Down	121664	2050347	121664	286684	no	no	strict	loose
ENSDARG00000103458	Down	31590	1960273	31590	196610	strict	no	strict	loose
ENSDARG00000098991	Down	143704	1784797	143704	21134	no	loose	strict	loose
ENSDARG00000107283	Down	164785	1763716	164785	53	no	loose	strict	loose
ENSDARG00000115416	Down	1684510	243991	706038	243991	no	no	loose	strict
ENSDARG00000112043	Down	2147067	625023	162987	294367	no	no	loose	strict
ENSDARG00000100001	Down	1771849	1000241	538205	80754	no	loose	loose	loose
ENSDARG00000105067	Down	1500652	1271438	809402	43186	no	loose	loose	loose
ENSDARG00000112061	Down	1466359	1297941	843695	8893	no	loose	loose	loose
ENSDARG00000113780	Down	781238	612820	781238	612820	no	no	strict	strict
ENSDARG00000102999	Down	484217	315799	484217	315799	no	no	strict	strict
ENSDARG00000109697	Down	349444	181026	349444	181026	no	no	strict	strict
ENSDARG00000112878	Down	309024	140606	309024	140606	no	no	strict	strict
ENSDARG00000103283	Down	58409	109916	58409	109916	strict	no	strict	strict
ENSDARG00000114716	Down	3116	171563	3116	171563	strict	no	strict	strict
ENSDARG00000092139	Down	32155	254879	32155	254879	strict	no	strict	strict
ENSDARG00000098811	Down	504537	233814	504537	152455	no	no	strict	strict
ENSDARG00000096030	Down	118532	856963	118532	775604	no	no	strict	strict
ENSDARG00000051783	Down	232932	1343170	110650	687910	no	no	strict	loose
ENSDARG00000041065	Down	2246	789377	2246	124543	strict	no	strict	strict
ENSDARG00000041299	Down	512264	810309	422054	11343	no	loose	strict	strict
ENSDARG00000056855	Down	3393	18277	3393	18277	strict	strict	strict	strict
ENSDARG00000034138	Down	3197	60294	3197	18087	strict	strict	strict	strict
ENSDARG00000062463	Down	26209	89947	26209	47740	strict	strict	strict	strict
ENSDARG00000010770	Down	152327	574103	1198	4640	loose	loose	strict	strict
ENSDARG00000011701	Down	47894	678536	47894	34713	strict	loose	strict	strict
ENSDARG00000062314	Down	341220	281465	119067	80482	no	loose	strict	strict
ENSDARG00000026726	Down	191385	118504	111468	15260	no	loose	strict	strict
ENSDARG00000035573	Down	444210	734948	142756	16948	no	loose	strict	strict
ENSDARG00000016514	Down	422719	756439	164247	4440	no	loose	strict	strict
ENSDARG00000054540	Down	203323	680941	203323	82940	no	loose	strict	strict
ENSDARG00000035521	Down	6204	2652	2577	2652	strict	strict	strict	strict
ENSDARG00000029406	Down	8764	944766	8764	110756	strict	no	strict	strict
ENSDARG00000061066	Down	38731	997997	38731	108042	strict	no	strict	strict
ENSDARG00000020178	Down	80203	809903	1996	4458	strict	loose	strict	strict
ENSDARG00000053021	Down	320791	2324661	13744	150667	loose	no	strict	loose
ENSDARG00000077298	Down	3969	3104574	3969	168454	strict	no	strict	loose
ENSDARG00000007836	Down	257182	2796747	4478	75994	loose	loose	strict	loose
ENSDARG00000013730	Down	556336	1724240	347031	61796	no	loose	strict	loose
ENSDARG00000095136	Down	139873	1307777	40280	178399	loose	no	strict	loose
ENSDARG00000103515	Down	9127	1177031	9127	47653	strict	loose	strict	loose
ENSDARG00000035147	Down	17859	146343	17859	119175	strict	no	strict	strict
ENSDARG00000035148	Down	42416	66183	42416	39015	strict	strict	strict	strict
ENSDARG00000035149	Down	9590	33357	9590	6189	strict	strict	strict	strict
ENSDARG00000095635	Down	6232	12923	1852	2126	strict	strict	strict	strict
ENSDARG00000035150	Down	11080	2211	11080	2211	strict	strict	strict	strict
ENSDARG00000035151	Down	2205	15643	2205	13642	strict	strict	strict	strict
ENSDARG00000078004	Down	2750	29761	2750	355	strict	strict	strict	strict
ENSDARG00000114187	Down	56983	44571	15259	44571	strict	strict	strict	strict
ENSDARG00000104278	Down	33517	1341614	33517	1330	strict	loose	strict	loose
ENSDARG00000039649	Down	36446	14592	36446	14592	strict	strict	strict	strict
ENSDARG00000099746	Down	6502	742519	6502	13637	strict	loose	strict	strict
ENSDARG00000110178	Down	146403	537609	146403	100936	no	no	strict	strict
ENSDARG00000112895	Down	7919	189886	5074	189886	strict	no	strict	strict
ENSDARG00000097743	Down	197698	6087231	197698	254438	no	no	strict	loose
ENSDARG00000057633	Down	13035	5481549	4195	168723	strict	no	strict	loose
ENSDARG00000058179	Down	11365	2645799	11365	7559	strict	loose	strict	loose
ENSDARG00000099911	Down	153331	345718	153331	345718	no	no	strict	strict
ENSDARG00000061923	Down	6000	1727575	6000	97267	strict	loose	strict	loose
ENSDARG00000013144	Down	16810	502073	13525	57430	strict	loose	strict	strict
ENSDARG00000021032	Down	4003	2374160	4003	180784	strict	no	strict	loose
ENSDARG00000070047	Down	11763	34545	1261	34545	strict	strict	strict	strict
ENSDARG00000070792	Down	111088	1019475	54256	162190	loose	no	strict	loose
ENSDARG00000044341	Down	17737	142690	17737	142690	strict	no	strict	strict
ENSDARG00000017624	Down	64101	1703572	64101	68709	strict	loose	strict	loose
ENSDARG00000017354	Down	5264	482769	5264	17819	strict	loose	strict	strict
ENSDARG00000026086	Down	260337	129642	146632	129642	no	no	strict	strict
ENSDARG00000020893	Down	407541	332503	1684	48017	loose	loose	strict	strict
ENSDARG00000003754	Down	358229	268942	65245	111578	loose	no	strict	strict
ENSDARG00000077473	Down	7771	435657	4977	7951	strict	loose	strict	strict
ENSDARG00000052279	Down	195491	687666	4897	3402	loose	loose	strict	strict
ENSDARG00000052073	Down	231481	1575258	231481	431491	no	no	strict	loose
ENSDARG00000059906	Down	6416	671236	4576	3383	strict	loose	strict	strict
ENSDARG00000091061	Down	5260	142058	5260	142058	strict	no	strict	strict
ENSDARG00000103308	Down	151257	79774	7342	34519	loose	strict	strict	strict
ENSDARG00000103277	Down	8125	42220	8125	42220	strict	strict	strict	strict
ENSDARG00000040606	Down	149210	240709	149210	65529	no	loose	strict	strict
ENSDARG00000074337	Down	17330	707189	17330	245115	strict	no	strict	strict
ENSDARG00000105439	Down	532665	565509	27118	67466	loose	loose	strict	strict
ENSDARG00000103834	Down	372438	116202	190285	116202	no	no	strict	strict
ENSDARG00000058369	Down	3719	30834	3719	713	strict	strict	strict	strict
ENSDARG00000045999	Down	271205	566128	120285	566128	no	no	strict	strict
ENSDARG00000103316	Down	275372	401733	852	1467	loose	loose	strict	strict
ENSDARG00000076472	Down	7581	684932	7581	18	strict	loose	strict	strict
ENSDARG00000101135	Down	25131	2231871	6609	28496	strict	loose	strict	loose
ENSDARG00000036394	Down	2725	2203920	2725	545	strict	loose	strict	loose
ENSDARG00000091111	Down	38625	1300816	6487	17584	strict	loose	strict	loose
ENSDARG00000022129	Down	36904	1299095	8208	19305	strict	loose	strict	loose
ENSDARG00000013317	Down	5144	1267335	2838	2436	strict	loose	strict	loose
ENSDARG00000021135	Down	553783	44223	28539	19267	loose	strict	strict	strict
ENSDARG00000026842	Down	587951	10055	3306	10055	loose	strict	strict	strict
ENSDARG00000075831	Down	743061	144955	36032	712	loose	loose	strict	strict
ENSDARG00000103682	Down	185163	479644	46633	6807	loose	loose	strict	strict
ENSDARG00000016363	Down	91951	136892	67600	61061	strict	loose	strict	strict
ENSDARG00000090975	Down	5489	234543	5489	36445	strict	loose	strict	strict
ENSDARG00000053650	Down	21043	1284120	21043	163304	strict	no	strict	loose
ENSDARG00000076104	Down	8754	504097	8346	377213	strict	no	strict	strict
ENSDARG00000101166	Down	62477	1084615	62477	397273	strict	no	strict	loose
ENSDARG00000052011	Down	241660	877558	179419	121866	no	no	strict	strict
ENSDARG00000102435	Down	56371	134725	22499	17442	strict	loose	strict	strict
ENSDARG00000018643	Down	230970	188530	188220	329	no	loose	strict	strict
ENSDARG00000059751	Down	11220	213587	11220	71767	strict	loose	strict	strict
ENSDARG00000003193	Down	4506	605060	4506	319613	strict	no	strict	strict
ENSDARG00000012499	Down	53891	1659532	53891	3433	strict	loose	strict	loose
ENSDARG00000077769	Down	4685	833189	2092	22178	strict	loose	strict	strict
ENSDARG00000015805	Down	136819	15969	136819	15969	no	strict	strict	strict
ENSDARG00000101540	Down	76543	210825	76543	666	strict	loose	strict	strict
ENSDARG00000101637	Down	5065	139347	5065	2489	strict	loose	strict	strict
ENSDARG00000051886	Down	106211	240485	43830	56527	loose	loose	strict	strict
ENSDARG00000091961	Down	264809	82270	264809	82270	no	strict	strict	strict
ENSDARG00000003867	Down	435169	1422705	435169	132825	no	no	strict	loose
ENSDARG00000004094	Down	42481	13074	42481	13074	strict	strict	strict	strict
ENSDARG00000059646	Down	5267	32865	5267	18996	strict	strict	strict	strict
ENSDARG00000078155	Down	93919	92049	93919	10212	strict	strict	strict	strict
ENSDARG00000109841	Down	104306	186734	104306	5304	no	loose	strict	strict
ENSDARG00000073900	Down	106434	184606	106434	3176	no	loose	strict	strict
ENSDARG00000042725	Down	227975	5739	58526	5739	loose	strict	strict	strict
ENSDARG00000042485	Down	5985	1087412	2764	416	strict	loose	strict	loose
ENSDARG00000068409	Down	4264	1250636	1808	262243	strict	no	strict	loose
ENSDARG00000019417	Down	254211	988975	254211	582	no	loose	strict	strict
ENSDARG00000094887	Down	16039	1782717	16039	206343	strict	no	strict	loose
ENSDARG00000036593	Down	110469	2257704	56389	60863	loose	loose	strict	loose
ENSDARG00000002172	Down	166856	2314091	2	4476	loose	loose	strict	loose
ENSDARG00000093188	Down	573797	2147412	310957	418318	no	no	strict	loose
ENSDARG00000095734	Down	352301	2372834	85535	192896	loose	no	strict	loose
ENSDARG00000004757	Down	246853	2972080	42492	6989	loose	loose	strict	loose
ENSDARG00000025854	Down	611465	2685968	611465	1161941	no	no	strict	no
ENSDARG00000007329	Down	4838	2195	4838	2195	strict	strict	strict	strict
ENSDARG00000102778	Down	181812	49316	19806	5312	loose	strict	strict	strict
ENSDARG00000104727	Down	996262	115605	125653	115605	no	no	strict	strict
ENSDARG00000097970	Down	8831	82816	8831	82816	strict	strict	strict	strict
ENSDARG00000093284	Down	111970	13406	3180	5959	loose	strict	strict	strict
ENSDARG00000042115	Down	15709	3238758	15709	17595	strict	loose	strict	loose
ENSDARG00000041959	Down	33309	2042	30749	1469	strict	strict	strict	strict
ENSDARG00000075996	Down	376569	2484778	1585	224882	loose	no	strict	loose
ENSDARG00000035810	Down	267735	2806352	21262	585	loose	loose	strict	loose
ENSDARG00000092033	Down	218391	1333514	104349	366068	no	no	strict	loose
ENSDARG00000044355	Down	44395	372985	44395	372985	strict	no	strict	strict
ENSDARG00000041051	Down	132527	410300	110977	206257	no	no	strict	strict
ENSDARG00000056561	Down	25704	303477	4154	131729	strict	no	strict	strict
ENSDARG00000069453	Down	23723	253193	23723	81445	strict	loose	strict	strict
ENSDARG00000094518	Down	296207	829185	296207	487045	no	no	strict	strict
ENSDARG00000113245	Down	274173	167711	81963	163230	loose	no	strict	strict
ENSDARG00000094387	Down	167700	27773	57797	27773	loose	strict	strict	strict
ENSDARG00000010962	Down	2182	882609	1654	18545	strict	loose	strict	strict
ENSDARG00000092404	Down	9856	149244	9856	90702	strict	loose	strict	strict
ENSDARG00000007099	Down	6185	133070	5077	74528	strict	loose	strict	strict
ENSDARG00000099640	Unaff	446478	2222964	446478	303	no	loose	strict	loose
ENSDARG00000013802	Unaff	316794	2093280	316794	129220	no	no	strict	loose
ENSDARG00000011299	Unaff	19777	1756456	19777	149362	strict	no	strict	loose
ENSDARG00000103783	Unaff	195159	1581074	195159	25826	no	loose	strict	loose
ENSDARG00000018319	Unaff	67151	1031386	67151	90806	strict	loose	strict	loose
ENSDARG00000037739	Unaff	730825	151449	730825	44395	no	loose	strict	strict
ENSDARG00000037746	Unaff	631468	52092	631468	1087	no	strict	strict	strict
ENSDARG00000012458	Unaff	589918	10542	589918	10542	no	strict	strict	strict
ENSDARG00000058471	Unaff	130924	142641	130924	8264	no	loose	strict	strict
ENSDARG00000037652	Unaff	212889	589421	212889	240561	no	no	strict	strict
ENSDARG00000070239	Unaff	129420	982379	129420	203181	no	no	strict	strict
ENSDARG00000074867	Unaff	769625	31864	43533	559	loose	strict	strict	strict
ENSDARG00000039063	Unaff	661326	160481	148858	160481	no	no	strict	strict
ENSDARG00000070412	Unaff	55947	1220903	55947	270444	strict	no	strict	loose
ENSDARG00000062055	Unaff	26736	1096475	26736	151139	strict	no	strict	loose
ENSDARG00000017744	Unaff	118950	1283443	118950	131768	no	no	strict	loose
ENSDARG00000070278	Unaff	386620	753600	211205	177459	no	no	strict	strict
ENSDARG00000037350	Unaff	177849	578730	75836	578730	loose	no	strict	strict
ENSDARG00000070109	Unaff	107032	293735	107032	293735	no	no	strict	strict
ENSDARG00000060994	Unaff	19128	1291072	19128	928766	strict	no	strict	loose
ENSDARG00000023330	Unaff	8490	47104	8490	43468	strict	strict	strict	strict
ENSDARG00000039616	Unaff	94472	734296	94472	255420	strict	no	strict	strict
ENSDARG00000079350	Unaff	237665	2324794	237665	845725	no	no	strict	loose
ENSDARG00000069910	Unaff	339227	1277100	339227	201675	no	no	strict	loose
ENSDARG00000029722	Unaff	207628	2199027	2091	1113	loose	loose	strict	loose
ENSDARG00000103145	Unaff	58472	1940618	58472	29639	strict	loose	strict	loose
ENSDARG00000075639	Unaff	6337	469031	6337	15156	strict	loose	strict	strict
ENSDARG00000059653	Unaff	161793	1797413	161793	597407	no	no	strict	loose
ENSDARG00000051970	Unaff	41463	1593894	39709	393888	strict	no	strict	loose
ENSDARG00000070858	Unaff	45671	130794	462	130794	strict	no	strict	strict
ENSDARG00000052641	Unaff	155366	30454	155366	30454	no	strict	strict	strict
ENSDARG00000036687	Unaff	105739	155937	105739	155937	no	no	strict	strict
ENSDARG00000052435	Unaff	281060	219618	9375	53813	loose	loose	strict	strict
ENSDARG00000052348	Unaff	92994	63391	92994	63391	strict	strict	strict	strict
ENSDARG00000075904	Unaff	268806	1036739	100823	43837	no	loose	strict	loose
ENSDARG00000059816	Unaff	266315	135197	66151	135197	loose	no	strict	strict
ENSDARG00000019765	Unaff	440565	38929	107781	38929	no	strict	strict	strict
ENSDARG00000007289	Unaff	1287730	958119	643852	958119	no	no	loose	strict
ENSDARG00000099635	Unaff	291822	2823821	19561	51087	loose	loose	strict	loose
ENSDARG00000032353	Unaff	138007	6362893	138007	6428	no	loose	strict	loose
ENSDARG00000103980	Unaff	17124	6191296	17124	127931	strict	no	strict	loose
ENSDARG00000006253	Unaff	557386	3665836	438078	310683	no	no	strict	loose
