name	group	GC_prop	CpG_prop
atac_L08024	k4me1_enh	0.376	0.016
atac_L10930	k4me1_enh	0.372	0.04
atac_L03358	k4me1_enh	0.506	0.024
atac_L07855	k4me1_enh	0.484	0.016
atac_L23431	k4me1_enh	0.386	0.022
atac_L31776	k4me1_enh	0.37	0.002
atac_P04288	k4me1_enh	0.442	0.022
atac_L18692	k4me1_enh	0.366	0.016
atac_L20515	k4me1_enh	0.414	0.016
atac_L15204	k4me1_enh	0.472	0.022
atac_L22001	k4me1_enh	0.336	0.008
atac_L38388	k4me1_enh	0.366	0.008
atac_L25820	k4me1_enh	0.502	0.034
atac_L12754	k4me1_enh	0.316	0.012
atac_L14592	k4me1_enh	0.46	0.008
atac_L20865	k4me1_enh	0.454	0.024
atac_L35364	k4me1_enh	0.35	0.008
atac_L04444	k4me1_enh	0.45	0.02
atac_L15076	k4me1_enh	0.48	0.026
atac_L22111	k4me1_enh	0.442	0.02
atac_L36044	k4me1_enh	0.456	0.012
atac_L12935	k4me1_enh	0.396	0.01
atac_L20263	k4me1_enh	0.404	0.006
atac_L09370	k4me1_enh	0.458	0.018
atac_P04363	k4me1_enh	0.302	0.008
atac_L20929	k4me1_enh	0.466	0.026
atac_L24064	k4me1_enh	0.482	0.026
atac_L20790	k4me1_enh	0.474	0.018
atac_L10593	k4me1_enh	0.36	0.008
atac_L02314	k4me1_enh	0.422	0.04
atac_L06131	k4me1_enh	0.42	0.022
atac_L34227	k4me1_enh	0.384	0.024
atac_L37351	k4me1_enh	0.4	0.026
atac_L16377	k4me1_enh	0.368	0.014
atac_L18608	k4me1_enh	0.394	0.006
atac_L06483	k4me1_enh	0.472	0.014
atac_L07602	k4me1_enh	0.46	0.02
atac_L07967	k4me1_enh	0.392	0.004
atac_L36534	k4me1_enh	0.462	0.004
atac_L39156	k4me1_enh	0.47	0.024
atac_L11697	k4me1_enh	0.502	0.048
atac_L09405	k4me1_enh	0.35	0.004
atac_L32957	k4me1_enh	0.452	0.044
atac_L01978	k4me1_enh	0.436	0.02
atac_L27813	k4me1_enh	0.456	0.026
atac_L05064	k4me1_enh	0.454	0.016
atac_L21556	k4me1_enh	0.384	0.012
atac_P04701	k4me1_enh	0.428	0.03
atac_L30969	k4me1_enh	0.364	0.012
atac_P02053	k4me1_enh	0.446	0.014
atac_L08746	k4me1_enh	0.38	0.014
atac_L31716	k4me1_enh	0.364	0.016
atac_L38165	k4me1_enh	0.392	0.024
atac_L39907	k4me1_enh	0.41	0.018
atac_L03344	k4me1_enh	0.44	0.016
atac_L10645	k4me1_enh	0.352	0.01
atac_L02135	k4me1_enh	0.38	0.012
atac_L04804	k4me1_enh	0.448	0.026
atac_L25616	k4me1_enh	0.346	0.022
atac_L32521	k4me1_enh	0.436	0.022
atac_L11294	k4me1_enh	0.308	0
atac_L25668	k4me1_enh	0.436	0.014
atac_L38146	k4me1_enh	0.498	0.026
atac_P03856	k4me1_enh	0.448	0.042
atac_L06071	k4me1_enh	0.442	0.03
atac_L13834	k4me1_enh	0.366	0.01
atac_L19315	k4me1_enh	0.44	0.038
atac_L08689	k4me1_enh	0.464	0.008
atac_L11006	k4me1_enh	0.332	0.004
atac_L31625	k4me1_enh	0.4	0.032
atac_L36702	k4me1_enh	0.396	0.004
atac_L12535	k4me1_enh	0.424	0.018
atac_L17706	k4me1_enh	0.388	0.024
atac_L28980	k4me1_enh	0.388	0.008
atac_L16981	k4me1_enh	0.418	0.02
atac_L06554	k4me1_enh	0.402	0.006
atac_L01536	k4me1_enh	0.444	0.014
atac_L31947	k4me1_enh	0.454	0.006
atac_L35627	k4me1_enh	0.426	0.02
atac_L31660	k4me1_enh	0.41	0.014
atac_P05997	k4me1_enh	0.346	0.008
atac_L05120	k4me1_enh	0.44	0.01
atac_P01403	k4me1_enh	0.346	0.008
atac_P02740	k4me1_enh	0.444	0.014
atac_P01056	k4me1_enh	0.404	0.014
atac_L06785	k4me1_enh	0.436	0.044
atac_L18088	k4me1_enh	0.448	0.028
atac_L00291	k4me1_enh	0.484	0.052
atac_L02134	k4me1_enh	0.376	0.022
atac_L17383	k4me1_enh	0.372	0.014
atac_L30924	k4me1_enh	0.418	0.002
atac_L33343	k4me1_enh	0.454	0.012
atac_L34262	k4me1_enh	0.428	0.014
atac_L39833	k4me1_enh	0.41	0.026
atac_P00028	k4me1_enh	0.43	0.028
atac_P04510	k4me1_enh	0.41	0.012
atac_L15458	k4me1_enh	0.414	0.016
atac_L33410	k4me1_enh	0.364	0.006
atac_L01174	k4me1_enh	0.474	0.032
atac_L02706	k4me1_enh	0.386	0.018
atac_L03648	k4me1_enh	0.422	0.004
atac_L04271	k4me1_enh	0.368	0.008
atac_L14211	k4me1_enh	0.328	0.01
atac_L27760	k4me1_enh	0.37	0.006
atac_L29273	k4me1_enh	0.492	0.026
atac_L31036	k4me1_enh	0.416	0.026
atac_L31626	k4me1_enh	0.312	0.008
atac_L37905	k4me1_enh	0.496	0.018
atac_L38246	k4me1_enh	0.338	0.004
atac_P01234	k4me1_enh	0.446	0.02
atac_P02854	k4me1_enh	0.454	0.022
atac_P07097	k4me1_enh	0.44	0.018
atac_L04445	k4me1_enh	0.424	0.018
atac_L09503	k4me1_enh	0.468	0.02
atac_L16497	k4me1_enh	0.472	0.008
atac_L24077	k4me1_enh	0.45	0.016
atac_P01037	k4me1_enh	0.464	0.012
atac_L26557	k4me1_enh	0.524	0.018
atac_L16994	k4me1_enh	0.38	0.004
atac_L38255	k4me1_enh	0.382	0.01
atac_L22011	k4me1_enh	0.356	0.022
atac_L34091	k4me1_enh	0.39	0.012
atac_L23242	k4me1_enh	0.394	0.008
atac_L31480	k4me1_enh	0.386	0.014
atac_L39574	k4me1_enh	0.448	0.018
atac_L40011	k4me1_enh	0.436	0.026
atac_L16766	k4me1_enh	0.47	0.018
atac_P04525	k4me1_enh	0.472	0.028
atac_L15674	k4me1_enh	0.388	0.012
atac_L24467	k4me1_enh	0.446	0.012
atac_L27717	k4me1_enh	0.33	0.008
atac_L28041	k4me1_enh	0.446	0.014
atac_L09406	k4me1_enh	0.37	0.008
atac_P03481	k4me1_enh	0.434	0.046
atac_L33242	k4me1_enh	0.508	0.022
atac_P02645	k4me1_enh	0.536	0.044
atac_P01232	k4me1_enh	0.408	0.016
atac_L07789	k4me1_enh	0.498	0.03
atac_L23182	k4me1_enh	0.396	0.008
atac_L06695	k4me1_enh	0.37	0.016
atac_L07294	k4me1_enh	0.402	0.028
atac_L02466	k4me1_enh	0.458	0.03
atac_L32696	k4me1_enh	0.518	0.04
atac_L17147	k4me1_enh	0.482	0.016
atac_L19122	k4me1_enh	0.328	0.008
atac_P06062	k4me1_enh	0.424	0.032
atac_L12243	k4me1_enh	0.46	0.024
atac_L09346	k4me1_enh	0.408	0.004
atac_L33265	k4me1_enh	0.478	0.026
atac_L11285	k4me1_enh	0.352	0.02
atac_L14026	k4me1_enh	0.426	0.01
atac_L17664	k4me1_enh	0.418	0.028
atac_L04399	k4me1_enh	0.39	0.022
atac_L08602	k4me1_enh	0.376	0.012
atac_L09463	k4me1_enh	0.352	0.016
atac_L15459	k4me1_enh	0.452	0.02
atac_P06066	k4me1_enh	0.424	0.02
atac_L06552	k4me1_enh	0.454	0.018
atac_L25615	k4me1_enh	0.36	0.008
atac_L39013	k4me1_enh	0.44	0.01
atac_L38345	k4me1_enh	0.35	0.004
atac_P02142	k4me1_enh	0.492	0.03
atac_L22891	k4me1_enh	0.38	0.01
atac_L13840	k4me1_enh	0.438	0.032
atac_L36586	k4me1_enh	0.394	0.012
atac_P01512	k4me1_enh	0.422	0.024
atac_L25336	k4me1_enh	0.43	0.024
atac_L00655	k4me1_enh	0.368	0.022
atac_P02701	k4me1_enh	0.464	0.008
atac_L03615	k4me1_enh	0.342	0.008
atac_L05534	k4me1_enh	0.438	0.028
atac_L06313	k4me1_enh	0.422	0.016
atac_L06553	k4me1_enh	0.398	0.02
atac_L10460	k4me1_enh	0.422	0.014
atac_L20074	k4me1_enh	0.358	0.018
atac_L28578	k4me1_enh	0.352	0.006
atac_L34829	k4me1_enh	0.368	0.02
atac_L36462	k4me1_enh	0.442	0.022
atac_L39478	k4me1_enh	0.346	0.008
atac_P02743	k4me1_enh	0.43	0.024
atac_L39112	k4me1_enh	0.424	0.016
atac_P00843	k4me1_enh	0.482	0.038
atac_L06507	k4me1_enh	0.428	0.016
atac_L11148	k4me1_enh	0.398	0.03
atac_L20041	k4me1_enh	0.426	0.024
atac_L20310	k4me1_enh	0.408	0.022
atac_L32222	k4me1_enh	0.502	0.022
atac_L39837	k4me1_enh	0.346	0.014
atac_L03671	k4me1_enh	0.504	0.028
atac_P02449	k4me1_enh	0.422	0.016
atac_L06167	k4me1_enh	0.506	0.016
atac_L18680	k4me1_enh	0.336	0.006
atac_L33558	k4me1_enh	0.422	0.008
atac_L20304	k4me1_enh	0.476	0.02
atac_L04415	k4me1_enh	0.378	0.006
atac_L05204	k4me1_enh	0.418	0.014
atac_L06568	k4me1_enh	0.442	0.006
atac_L07794	k4me1_enh	0.41	0.004
atac_L07868	k4me1_enh	0.446	0.012
atac_L09263	k4me1_enh	0.442	0.008
atac_L11335	k4me1_enh	0.422	0.02
atac_L13511	k4me1_enh	0.412	0.016
atac_L22240	k4me1_enh	0.466	0.008
atac_L30880	k4me1_enh	0.416	0.014
atac_L31525	k4me1_enh	0.424	0.02
atac_L35467	k4me1_enh	0.436	0.022
atac_L08098	k4me1_enh	0.444	0.022
atac_L08733	k4me1_enh	0.374	0.024
atac_L08791	k4me1_enh	0.466	0.01
atac_L14999	k4me1_enh	0.31	0.008
atac_L15324	k4me1_enh	0.406	0.012
atac_L15369	k4me1_enh	0.42	0.014
atac_L20111	k4me1_enh	0.424	0.01
atac_L23583	k4me1_enh	0.51	0.056
atac_L31664	k4me1_enh	0.532	0.028
atac_L33302	k4me1_enh	0.444	0.022
atac_L33623	k4me1_enh	0.472	0.02
atac_P04012	k4me1_enh	0.526	0.042
atac_L38408	k4me1_enh	0.486	0.012
atac_L12496	k4me1_enh	0.434	0.014
atac_L04468	k4me1_enh	0.314	0.006
atac_L27814	k4me1_enh	0.39	0.03
atac_L31382	k4me1_enh	0.464	0.014
atac_P01359	k4me1_enh	0.358	0.01
atac_L32331	k4me1_enh	0.486	0.014
atac_L36544	k4me1_enh	0.38	0.02
atac_L08045	k4me1_enh	0.344	0.004
atac_L10476	k4me1_enh	0.484	0.026
atac_L18458	k4me1_enh	0.396	0.018
atac_L19161	k4me1_enh	0.484	0.02
atac_L32697	k4me1_enh	0.432	0.082
atac_L01060	k4me1_enh	0.434	0.014
atac_L03670	k4me1_enh	0.424	0.024
atac_L05022	k4me1_enh	0.412	0.022
atac_L06505	k4me1_enh	0.326	0.016
atac_L08107	k4me1_enh	0.41	0.016
atac_L09555	k4me1_enh	0.414	0.026
atac_L27850	k4me1_enh	0.426	0.028
atac_L27989	k4me1_enh	0.404	0.01
atac_L30122	k4me1_enh	0.508	0.018
atac_L37124	k4me1_enh	0.418	0.004
atac_L39263	k4me1_enh	0.318	0.004
atac_L04957	k4me1_enh	0.424	0.014
atac_L15305	k4me1_enh	0.452	0.01
atac_P00457	k4me1_enh	0.418	0.012
atac_L01116	k4me1_enh	0.328	0.008
atac_L05533	k4me1_enh	0.392	0.02
atac_L06459	k4me1_enh	0.44	0.012
atac_L10459	k4me1_enh	0.362	0.016
atac_L12331	k4me1_enh	0.346	0.008
atac_L13430	k4me1_enh	0.418	0.026
atac_L18089	k4me1_enh	0.352	0.002
atac_L18676	k4me1_enh	0.388	0.006
atac_L20553	k4me1_enh	0.454	0.022
atac_L21926	k4me1_enh	0.474	0.032
atac_L26935	k4me1_enh	0.332	0.002
atac_L29152	k4me1_enh	0.42	0.02
atac_L34103	k4me1_enh	0.416	0.016
atac_L36287	k4me1_enh	0.492	0.044
atac_L36471	k4me1_enh	0.338	0.002
atac_L39264	k4me1_enh	0.452	0.016
atac_L39740	k4me1_enh	0.45	0.014
atac_P01607	k4me1_enh	0.45	0.02
atac_L10377	k4me1_enh	0.374	0.008
atac_L12372	k4me1_enh	0.38	0.02
atac_L05826	k4me1_enh	0.462	0.008
atac_L13739	k4me1_enh	0.572	0.018
atac_P07048	k4me1_enh	0.494	0.016
atac_L06506	k4me1_enh	0.452	0.032
atac_L11147	k4me1_enh	0.35	0.01
atac_L25847	k4me1_enh	0.456	0.02
atac_L37219	k4me1_enh	0.438	0.036
atac_P06387	k4me1_enh	0.44	0.028
atac_L08085	k4me1_enh	0.486	0.02
atac_L22054	k4me1_enh	0.43	0.03
atac_L35049	k4me1_enh	0.522	0.03
atac_L01301	k4me1_enh	0.538	0.042
atac_L33701	k4me1_enh	0.476	0.024
atac_L23940	k4me1_enh	0.494	0.02
atac_L14078	k4me1_enh	0.36	0.008
atac_L25381	k4me1_enh	0.374	0.014
atac_L31526	k4me1_enh	0.428	0.032
atac_L36506	k4me1_enh	0.346	0.008
atac_L38664	k4me1_enh	0.404	0.016
atac_L39586	k4me1_enh	0.402	0.01
atac_L09957	k4me1_enh	0.436	0.036
atac_L31534	k4me1_enh	0.388	0.008
atac_L00571	k4me1_enh	0.468	0.022
atac_L01862	k4me1_enh	0.38	0.006
atac_L03125	k4me1_enh	0.46	0.02
atac_L03406	k4me1_enh	0.442	0.02
atac_L04830	k4me1_enh	0.338	0.004
atac_L06314	k4me1_enh	0.428	0.022
atac_L06841	k4me1_enh	0.384	0.018
atac_L08886	k4me1_enh	0.324	0.008
atac_L10461	k4me1_enh	0.418	0.004
atac_L16527	k4me1_enh	0.356	0.01
atac_L20735	k4me1_enh	0.434	0.024
atac_L22187	k4me1_enh	0.398	0.022
atac_L22778	k4me1_enh	0.392	0.012
atac_L32211	k4me1_enh	0.32	0.002
atac_L38229	k4me1_enh	0.386	0.008
atac_L16288	k4me1_enh	0.358	0.024
atac_L39867	k4me1_enh	0.46	0.016
atac_L18754	k4me1_enh	0.462	0.026
atac_L39483	k4me1_enh	0.348	0.01
atac_L27761	k4me1_enh	0.464	0.012
atac_L33722	k4me1_enh	0.408	0.004
atac_L02343	k4me1_enh	0.416	0.028
atac_L15040	k4me1_enh	0.476	0.012
atac_L20648	k4me1_enh	0.472	0.014
atac_L25083	k4me1_enh	0.384	0.016
atac_L40168	k4me1_enh	0.472	0.04
atac_L07384	k4me1_enh	0.428	0.018
atac_L01311	k4me1_enh	0.364	0.008
atac_L29907	k4me1_enh	0.324	0.008
atac_L02005	k4me1_enh	0.418	0.02
atac_L12277	k4me1_enh	0.458	0.016
atac_L13119	k4me1_enh	0.538	0.038
atac_L27756	k4me1_enh	0.42	0.014
atac_L23145	k4me1_enh	0.434	0.02
atac_L25491	k4me1_enh	0.232	0.002
atac_L32212	k4me1_enh	0.454	0.024
atac_L39206	k4me1_enh	0.424	0.024
atac_L02723	k4me1_enh	0.432	0.032
atac_L16226	k4me1_enh	0.444	0.012
atac_L31915	k4me1_enh	0.436	0.01
atac_P06989	k4me1_enh	0.414	0.008
atac_L02976	k4me1_enh	0.4	0.008
atac_L03128	k4me1_enh	0.486	0.016
atac_L08868	k4me1_enh	0.416	0.02
atac_L00793	k4me1_enh	0.458	0.02
atac_P04200	k4me1_enh	0.466	0.026
atac_L02050	k4me1_enh	0.458	0.03
atac_L06162	k4me1_enh	0.462	0.008
atac_L07675	k4me1_enh	0.364	0.008
atac_L15256	k4me1_enh	0.368	0.022
atac_L33098	k4me1_enh	0.508	0.04
atac_L09411	k4me1_enh	0.4	0.02
atac_L13873	k4me1_enh	0.412	0.01
atac_L26885	k4me1_enh	0.432	0.022
atac_L11129	k4me1_enh	0.448	0.014
atac_L21118	k4me1_enh	0.428	0.01
atac_L29914	k4me1_enh	0.366	0.006
atac_L07305	k4me1_enh	0.424	0.01
atac_L18764	k4me1_enh	0.392	0.022
atac_L37938	k4me1_enh	0.412	0.054
atac_P00269	k4me1_enh	0.36	0.036
atac_L03084	k4me1_enh	0.436	0.012
atac_L03124	k4me1_enh	0.4	0.01
atac_L17643	k4me1_enh	0.394	0.02
atac_L13745	k4me1_enh	0.488	0.022
atac_L23523	k4me1_enh	0.43	0.016
atac_P03987	k4me1_enh	0.446	0.012
atac_L38189	k4me1_enh	0.41	0.014
atac_L08010	k4me1_enh	0.344	0.008
atac_L03127	k4me1_enh	0.4	0.01
atac_L39991	k4me1_enh	0.458	0.028
atac_L03259	k4me1_enh	0.38	0.016
atac_L07126	k4me1_enh	0.5	0.034
atac_L16052	k4me1_enh	0.432	0.028
atac_L16810	k4me1_enh	0.428	0.006
atac_L24318	k4me1_enh	0.392	0.016
atac_L31125	k4me1_enh	0.402	0.006
atac_L34478	k4me1_enh	0.362	0.01
atac_L36056	k4me1_enh	0.53	0.028
atac_L24406	k4me1_enh	0.444	0.022
atac_P02893	k4me1_enh	0.4	0.02
atac_L00203	k4me1_enh	0.382	0.016
atac_L08758	k4me1_enh	0.478	0.02
atac_L10031	k4me1_enh	0.428	0.01
atac_L20297	k4me1_enh	0.482	0.01
atac_L39860	k4me1_enh	0.446	0.026
atac_P01227	k4me1_enh	0.352	0.016
atac_L02157	k4me1_enh	0.394	0.022
atac_L02239	k4me1_enh	0.46	0.018
atac_L02650	k4me1_enh	0.344	0.01
atac_L02947	k4me1_enh	0.464	0.038
atac_L03085	k4me1_enh	0.402	0.018
atac_L04365	k4me1_enh	0.496	0.044
atac_L04381	k4me1_enh	0.442	0.014
atac_L05771	k4me1_enh	0.384	0.016
atac_L06873	k4me1_enh	0.288	0.01
atac_L07618	k4me1_enh	0.378	0.006
atac_L08567	k4me1_enh	0.36	0.018
atac_L08757	k4me1_enh	0.456	0.006
atac_L08866	k4me1_enh	0.432	0.014
atac_L09606	k4me1_enh	0.436	0.024
atac_L13747	k4me1_enh	0.454	0.032
atac_L13856	k4me1_enh	0.402	0.01
atac_L15068	k4me1_enh	0.466	0.038
atac_L15447	k4me1_enh	0.468	0.01
atac_L15697	k4me1_enh	0.374	0.014
atac_L17185	k4me1_enh	0.458	0.024
atac_L18700	k4me1_enh	0.402	0.01
atac_L19330	k4me1_enh	0.564	0.058
atac_L22347	k4me1_enh	0.414	0.036
atac_L24282	k4me1_enh	0.446	0.022
atac_L25652	k4me1_enh	0.444	0.002
atac_L27196	k4me1_enh	0.38	0.012
atac_L30375	k4me1_enh	0.37	0.016
atac_L30637	k4me1_enh	0.496	0.044
atac_L31920	k4me1_enh	0.366	0.01
atac_L32155	k4me1_enh	0.464	0.018
atac_L33262	k4me1_enh	0.382	0.008
atac_L33592	k4me1_enh	0.346	0.006
atac_L33969	k4me1_enh	0.326	0.018
atac_L36063	k4me1_enh	0.466	0.028
atac_L36335	k4me1_enh	0.472	0.032
atac_L37172	k4me1_enh	0.422	0.024
atac_L37937	k4me1_enh	0.38	0.042
atac_L38264	k4me1_enh	0.418	0.01
atac_L39678	k4me1_enh	0.482	0.028
atac_L40249	k4me1_enh	0.392	0.016
atac_P01714	k4me1_enh	0.356	0.006
atac_P04283	k4me1_enh	0.48	0.038
atac_L07517	k4me1_enh	0.32	0.004
atac_L08897	k4me1_enh	0.408	0.022
atac_L12641	k4me1_enh	0.426	0.01
atac_L27535	k4me1_enh	0.38	0.014
atac_L00966	k4me1_enh	0.428	0.01
atac_L03179	k4me1_enh	0.324	0.01
atac_L03850	k4me1_enh	0.452	0.016
atac_L03858	k4me1_enh	0.332	0.004
atac_L04397	k4me1_enh	0.446	0.036
atac_L04427	k4me1_enh	0.428	0.008
atac_L05118	k4me1_enh	0.442	0.016
atac_L07526	k4me1_enh	0.372	0.014
atac_L08827	k4me1_enh	0.42	0.036
atac_L09031	k4me1_enh	0.486	0.046
atac_L09286	k4me1_enh	0.344	0.018
atac_L09471	k4me1_enh	0.484	0.032
atac_L10103	k4me1_enh	0.534	0.022
atac_L11779	k4me1_enh	0.334	0.006
atac_L14039	k4me1_enh	0.288	0.006
atac_L14329	k4me1_enh	0.48	0.016
atac_L15593	k4me1_enh	0.448	0.018
atac_L16536	k4me1_enh	0.376	0.01
atac_L17122	k4me1_enh	0.43	0.018
atac_L20173	k4me1_enh	0.46	0.046
atac_L20298	k4me1_enh	0.428	0.032
atac_L20931	k4me1_enh	0.4	0.01
atac_L22403	k4me1_enh	0.46	0.016
atac_L22451	k4me1_enh	0.462	0.028
atac_L24281	k4me1_enh	0.412	0.022
atac_L24395	k4me1_enh	0.388	0.01
atac_L25572	k4me1_enh	0.416	0.02
atac_L26925	k4me1_enh	0.362	0.022
atac_L27753	k4me1_enh	0.438	0.018
atac_L33625	k4me1_enh	0.434	0.008
atac_L33910	k4me1_enh	0.424	0.006
atac_L35694	k4me1_enh	0.416	0.006
atac_L36975	k4me1_enh	0.458	0.048
atac_L39711	k4me1_enh	0.422	0.024
atac_L39919	k4me1_enh	0.452	0.032
atac_L40189	k4me1_enh	0.42	0.032
atac_P00595	k4me1_enh	0.378	0.014
atac_P00931	k4me1_enh	0.504	0.038
atac_P02778	k4me1_enh	0.434	0.02
atac_P03394	k4me1_enh	0.578	0.036
atac_P05643	k4me1_enh	0.524	0.038
atac_P06475	k4me1_enh	0.514	0.04
atac_L30460	k4me1_enh	0.42	0.018
atac_L31666	k4me1_enh	0.418	0.012
atac_L00247	k4me1_enh	0.436	0.024
atac_L00708	k4me1_enh	0.418	0.008
atac_L01068	k4me1_enh	0.342	0.01
atac_L01128	k4me1_enh	0.44	0.034
atac_L01757	k4me1_enh	0.376	0.008
atac_L02131	k4me1_enh	0.39	0.01
atac_L03054	k4me1_enh	0.388	0.012
atac_L03434	k4me1_enh	0.406	0.02
atac_L05127	k4me1_enh	0.396	0.022
atac_L06717	k4me1_enh	0.406	0.014
atac_L07537	k4me1_enh	0.45	0.018
atac_L07729	k4me1_enh	0.466	0.018
atac_L11293	k4me1_enh	0.44	0.012
atac_L12128	k4me1_enh	0.342	0.01
atac_L13009	k4me1_enh	0.396	0.008
atac_L17626	k4me1_enh	0.426	0.018
atac_L18699	k4me1_enh	0.398	0.01
atac_L20811	k4me1_enh	0.314	0.002
atac_L20930	k4me1_enh	0.478	0.038
atac_L21056	k4me1_enh	0.438	0.026
atac_L22452	k4me1_enh	0.334	0.008
atac_L24829	k4me1_enh	0.452	0.028
atac_L25791	k4me1_enh	0.474	0.026
atac_L26473	k4me1_enh	0.33	0.002
atac_L27437	k4me1_enh	0.416	0.012
atac_L27847	k4me1_enh	0.414	0.02
atac_L30804	k4me1_enh	0.438	0.026
atac_L31050	k4me1_enh	0.424	0.016
atac_L31082	k4me1_enh	0.338	0.012
atac_L32405	k4me1_enh	0.388	0.012
atac_L33167	k4me1_enh	0.358	0.01
atac_L33936	k4me1_enh	0.366	0.008
atac_L34213	k4me1_enh	0.446	0.036
atac_L38263	k4me1_enh	0.418	0.028
atac_L38577	k4me1_enh	0.392	0.008
atac_L39485	k4me1_enh	0.484	0.02
atac_L39606	k4me1_enh	0.428	0.014
atac_L39920	k4me1_enh	0.516	0.042
atac_P01724	k4me1_enh	0.438	0.022
atac_P05870	k4me1_enh	0.418	0.004
atac_P05878	k4me1_enh	0.438	0.008
atac_P06337	k4me1_enh	0.474	0.02
atac_L34904	k4me1_enh	0.396	0.016
atac_L00161	k4me1_enh	0.478	0.042
atac_L00352	k4me1_enh	0.466	0.03
atac_L00523	k4me1_enh	0.442	0.036
atac_L02021	k4me1_enh	0.382	0.014
atac_L02057	k4me1_enh	0.39	0.006
atac_L03228	k4me1_enh	0.412	0.012
atac_L04459	k4me1_enh	0.41	0.016
atac_L04762	k4me1_enh	0.346	0.01
atac_L06075	k4me1_enh	0.45	0.02
atac_L06261	k4me1_enh	0.496	0.036
atac_L07660	k4me1_enh	0.494	0.042
atac_L08111	k4me1_enh	0.412	0.008
atac_L09562	k4me1_enh	0.334	0.02
atac_L10649	k4me1_enh	0.53	0.012
atac_L10998	k4me1_enh	0.444	0.016
atac_L11379	k4me1_enh	0.438	0.032
atac_L12610	k4me1_enh	0.438	0.018
atac_L13485	k4me1_enh	0.398	0.016
atac_L14702	k4me1_enh	0.412	0.034
atac_L14972	k4me1_enh	0.37	0.004
atac_L16824	k4me1_enh	0.422	0.008
atac_L18164	k4me1_enh	0.324	0.008
atac_L18228	k4me1_enh	0.306	0.006
atac_L18414	k4me1_enh	0.478	0.03
atac_L21843	k4me1_enh	0.414	0.038
atac_L22229	k4me1_enh	0.502	0.034
atac_L22978	k4me1_enh	0.416	0.014
atac_L23032	k4me1_enh	0.512	0.018
atac_L23667	k4me1_enh	0.426	0.048
atac_L23961	k4me1_enh	0.522	0.042
atac_L24874	k4me1_enh	0.336	0.012
atac_L27311	k4me1_enh	0.408	0.014
atac_L27844	k4me1_enh	0.438	0.026
atac_L27965	k4me1_enh	0.43	0.016
atac_L28990	k4me1_enh	0.372	0.016
atac_L29358	k4me1_enh	0.348	0.01
atac_L30638	k4me1_enh	0.378	0.008
atac_L31533	k4me1_enh	0.448	0.006
atac_L31674	k4me1_enh	0.41	0.012
atac_L32159	k4me1_enh	0.374	0.012
atac_L32402	k4me1_enh	0.382	0.01
atac_L34092	k4me1_enh	0.418	0.01
atac_L38500	k4me1_enh	0.464	0.044
atac_L39952	k4me1_enh	0.402	0.014
atac_P03169	k4me1_enh	0.454	0.01
atac_P03582	k4me1_enh	0.386	0.006
atac_P03747	k4me1_enh	0.476	0.024
atac_P06902	k4me1_enh	0.478	0.012
atac_L25370	k4me1_enh	0.434	0.028
atac_L25853	k4me1_enh	0.434	0.014
atac_L41220	k4me1_enh	0.442	0.046
atac_P01566	k4me1_enh	0.556	0.03
atac_L09336	k4me1_enh	0.48	0.046
atac_L12268	k4me1_enh	0.41	0.022
atac_L27603	k4me1_enh	0.458	0.052
atac_P06321	k4me1_enh	0.466	0.016
atac_P00686	k4me1_enh	0.412	0.01
atac_L03361	k4me1_enh	0.446	0.018
atac_L30883	k4me1_enh	0.446	0.014
atac_L16564	k4me1_enh	0.384	0.01
atac_L29186	k4me1_enh	0.476	0.018
atac_P00972	k4me1_enh	0.44	0.01
atac_L17707	k4me1_enh	0.33	0.012
atac_L09081	k4me1_enh	0.498	0.014
atac_L22782	k4me1_enh	0.452	0.018
atac_L28157	k4me1_enh	0.464	0.008
atac_L10059	k4me1_enh	0.428	0.03
atac_L23509	k4me1_enh	0.35	0.012
atac_L32233	k4me1_enh	0.488	0.048
atac_L03363	k4me1_enh	0.43	0.032
atac_L00575	k4me1_enh	0.38	0.016
atac_L02991	k4me1_enh	0.492	0.028
atac_L16661	k4me1_enh	0.416	0.028
atac_L17600	k4me1_enh	0.49	0.054
atac_L20643	k4me1_enh	0.36	0.006
atac_L20792	k4me1_enh	0.4	0.018
atac_L35956	k4me1_enh	0.448	0.008
atac_L35961	k4me1_enh	0.488	0.024
atac_P03156	k4me1_enh	0.458	0.016
atac_L04651	k4me1_enh	0.458	0.022
atac_L07460	k4me1_enh	0.434	0.016
atac_L31790	k4me1_enh	0.506	0.036
atac_L32266	k4me1_enh	0.484	0.052
atac_L39124	k4me1_enh	0.468	0.02
atac_L39490	k4me1_enh	0.446	0.02
atac_L03593	k4me1_enh	0.364	0.008
atac_L07311	k4me1_enh	0.35	0.008
atac_L08253	k4me1_enh	0.47	0.03
atac_L13728	k4me1_enh	0.416	0.018
atac_L14239	k4me1_enh	0.378	0.006
atac_L20501	k4me1_enh	0.378	0.004
atac_L20809	k4me1_enh	0.482	0.042
atac_L22955	k4me1_enh	0.4	0.012
atac_L27832	k4me1_enh	0.41	0.014
atac_L31537	k4me1_enh	0.408	0.01
atac_L32132	k4me1_enh	0.44	0.016
atac_L32234	k4me1_enh	0.428	0.012
atac_L34026	k4me1_enh	0.422	0.012
atac_L36122	k4me1_enh	0.43	0.038
atac_L36592	k4me1_enh	0.39	0.018
atac_P03730	k4me1_enh	0.484	0.024
