chr	start	end	name	category	strand	gene	inferred_strand	svm_prediction	dome_k4me1_up	dome_k4me1_center	dome_k4me1_down	dome_k4me2_up	dome_k4me2_center	dome_k4me2_down	dome_k4me3_up	dome_k4me3_center	dome_k4me3_down	dome_k9ac_up	dome_k9ac_center	dome_k9ac_down	dome_k27ac_up	dome_k27ac_center	dome_k27ac_down	dome_h4k16ac_up	dome_h4k16ac_center	dome_h4k16ac_down	dome_k56ac_up	dome_k56ac_center	dome_k56ac_down	dome_k64ac_up	dome_k64ac_center	dome_k64ac_down	dome_k122ac_up	dome_k122ac_center	dome_k122ac_down	dome_ntac_up	dome_ntac_center	dome_ntac_down	dome_igg_up	dome_igg_center	dome_igg_down	dome_k4me1_centerdown	dome_k4me2_centerdown	dome_k4me3_centerdown	dome_k9ac_centerdown	dome_k27ac_centerdown	dome_h4k16ac_centerdown	dome_k56ac_centerdown	dome_k64ac_centerdown	dome_k122ac_centerdown	dome_ntac_centerdown	dome_igg_centerdown	dome_k4me1_lg_enrich	dome_k4me2_lg_enrich	dome_k4me3_lg_enrich	dome_k9ac_lg_enrich	dome_k27ac_lg_enrich	dome_h4k16ac_lg_enrich	dome_k56ac_lg_enrich	dome_k64ac_lg_enrich	dome_k122ac_lg_enrich	dome_ntac_lg_enrich
chr14	7306953	7307053	atac_L07197	prom_ens	-	ENSDART00000158914	+	prom	4.53	4.771	3.876	3.745	2.981	1.25	0.98	0.856	1.477	1.062	0	1.062	0.574	0.687	1.228	0.744	0.643	0.926	0	0	0	1.291	0	1.961	0.861	0	0	0	0	1.43	0.696	0	0.949	3.985	1.526	1.43	0.992	1.186	0.902	0	1.86	0	1.345	0.884	3.1	0.642	0.546	0.108	0.302	0.018	-0.884	0.976	-0.884	0.461
chr14	7452200	7452320	atac_L07201	prom_ens	+	ENSDART00000130388	+	enh	0	3.288	3.976	1.91	2.754	1.25	0	0.745	1.094	0.447	1.329	1.667	0.45	2.018	1.069	0.837	2.247	0.643	0	0	0	1.291	1.59	1.551	0	0	0.861	1.43	1.745	1.43	0.696	0	0.39	3.916	1.509	1.06	1.635	1.206	0.929	0	1.555	0.79	1.467	0.353	3.563	1.157	0.708	1.282	0.854	0.576	-0.353	1.202	0.437	1.114
chr14	7697589	7697721	atac_L07203	prom_ens	+	ENSDART00000028623	+	prom	3.653	0	3.388	1.91	0	4.344	1.2	2.406	2.139	1.492	1.247	2.42	0.983	1.51	2.018	0.643	0.512	2.129	0	0	3.105	2.417	0	2.862	0.861	0	1.396	1.09	2.4	1.935	0.949	1.744	0.949	3.228	4.174	2.173	2.324	1.967	2.01	2.948	2.709	1.288	1.997	1.067	2.16	3.107	1.105	1.256	0.9	0.943	1.881	1.642	0.221	0.93
chr14	7699172	7699460	atac_L07204	prom_ens	+	ENSDART00000123139	+	prom	3.769	3.055	1.635	3.745	3.403	3.745	1.477	1.931	3.528	3.107	3.097	3.526	2.143	2.267	2.615	1.887	2.044	2.488	0	0	2.264	2.763	2.591	3.042	1.396	1.273	1.786	0.646	1.978	2.308	1.164	1.054	0	2.094	3.675	3.294	3.441	2.544	2.4	1.983	2.953	1.686	2.241	0.311	1.783	3.364	2.983	3.129	2.233	2.089	1.672	2.641	1.375	1.929
chr14	7891664	7891768	atac_L07212	prom_umms	-	TCONS_00025236	+	prom	2.056	2.599	3.388	2.704	0	3.213	1.477	2.292	2.703	2.42	3.281	3.107	1.069	1.743	2.556	1.542	1.661	2.27	0	0	0	1.551	1.731	3.346	0	3.145	1.786	2.133	3.193	1.704	0.949	1.317	0.949	3.33	3.086	2.669	3.125	2.496	2.222	0	3.251	1.985	1.931	0.988	2.342	2.099	1.681	2.137	1.509	1.235	-0.988	2.263	0.997	0.943
chr14	7892007	7892180	atac_L07213	prom_ens	+	ENSDART00000161307	+	prom	3.527	2.015	2.871	3.213	3.695	2.704	1.636	2.621	4.284	3.107	4.064	3.167	2.143	2.57	2.431	2.129	2.292	2.129	0	0	4.019	2.862	4.148	3.538	1.786	1.748	2.093	2.308	0	1.43	1.164	0.923	0.39	2.772	2.9	4.13	3.34	2.452	2.154	3.804	3.646	2.047	1.289	0.482	2.29	2.418	3.649	2.858	1.971	1.672	3.322	3.164	1.565	0.807
chr14	7902303	7902414	atac_L07214	prom_ens	+	ENSDART00000113299	+	prom	3.769	3.39	4.53	2.981	2.85	3.886	0.721	1.299	0.856	2.319	3.434	2.092	0.574	1.678	1.929	1.542	2.014	1.3	2.264	0	0	1.771	0	2.542	2.093	2.226	0	1.704	0	0	1.164	1.261	0.696	4.449	3.811	0.907	2.298	1.905	1.389	0	2.417	0.451	0	0.764	3.685	3.047	0.144	1.535	1.142	0.625	-0.764	1.654	-0.312	-0.764
chr14	7932866	7932985	atac_L07216	prom_ens	+	ENSDART00000109941	+	enh	3.527	3.834	4.069	1.25	0	0	1.094	1.24	0.98	0	0	1.293	0.574	0	0.891	0.926	1.531	1.087	3.105	0	0	1.771	1.598	1.961	0	0	1.396	1.704	3.021	1.43	1.164	1.203	0.39	4.046	0	1.01	1.2	0.818	1.141	0	1.927	1.298	1.71	0.501	3.545	-0.501	0.509	0.698	0.317	0.64	-0.501	1.425	0.797	1.208
chr14	8275085	8275168	atac_L07226	prom_ens	+	ENSDART00000129055	+	prom	3.876	3.774	3.876	2.361	3.218	2.361	0	0	0.856	1.492	2.425	0.787	0.687	1.305	1.069	0.643	0	0.536	0	0	2.264	1.291	0	0.568	0	2.565	1.396	0.646	0	1.09	0	0	0.696	3.868	2.448	0.806	1.003	1.089	0.501	2.174	0.531	1.528	1.03	0.653	3.215	1.795	0.153	0.35	0.436	-0.152	1.521	-0.122	0.875	0.377
chr14	8594298	8594395	atac_L07230	prom_ens	+	ENSDART00000037749	+	prom	2.871	3.567	3.388	1.91	3.019	4.242	1.477	2.942	3.548	1.293	0	3.526	0.891	1.814	2.463	1.087	1.11	2.236	0	0	4.323	1.961	3.081	3.476	0.861	2.381	2.093	1.09	0	1.935	0.696	1.378	1.516	3.405	4.167	3.504	3.405	2.416	2.165	4.196	3.445	2.12	1.837	1.504	1.901	2.663	1.999	1.9	0.912	0.66	2.692	1.941	0.616	0.333
chr14	8638259	8638365	atac_L07231	prom_ens	+	ENSDART00000163240	+	prom	2.647	2.576	3.769	1.91	0	2.981	1.298	1.72	1.97	1.667	2.145	1.964	0.983	1.447	1.562	1.008	1.373	1.364	0	0	2.264	0.974	1.712	1.771	1.396	2.278	1.396	1.704	0	1.704	0.949	0	0.39	3.689	2.855	1.948	1.983	1.551	1.365	2.15	1.765	1.508	1.605	0.357	3.332	2.498	1.591	1.626	1.195	1.008	1.794	1.409	1.152	1.248
chr14	8795030	8795143	atac_L07234	prom_ens	-	ENSDART00000106671	+	enh	2.871	3.904	2.647	0	0	1.25	0.572	1.952	1.558	1.062	2.074	1.492	0.793	0.623	0.793	0.837	0	1.3	3.105	0	0	0.568	2.398	1.551	0	0	0	0	0	0	0.39	0	1.164	2.837	1.163	1.604	1.563	0.776	1.21	0	1.663	0	0	1.08	1.757	0.083	0.523	0.483	-0.304	0.13	-1.08	0.583	-1.08	-1.08
chr14	10656919	10657029	atac_L07268	prom_ens	+	ENSDART00000125865	+	prom	4.826	4.332	4.392	4.611	2.861	4.439	1.709	2.438	2.807	2.687	3.649	2.841	2.364	2.443	2.778	2.091	2.347	2.398	2.264	0	3.633	2.417	3.288	3.653	2.56	0	1.786	2.308	2.617	2.308	0.696	2.386	1.922	4.386	4.34	2.774	2.945	2.748	2.393	3.496	3.62	1.681	2.342	1.976	2.411	2.365	0.799	0.969	0.772	0.418	1.52	1.645	-0.295	0.366
chr14	10954252	10954362	atac_L07273	prom_ens	+	ENSDART00000106658	+	prom	3.527	2.532	3.236	2.704	2.861	3.213	0.572	1.683	1.094	1.964	2.104	2.21	1.562	2.583	2.221	1.93	1.83	1.796	2.264	0	0	1.961	1.675	2.417	1.396	0	1.786	1.43	0	1.704	1.164	2.386	1.164	3.179	3.182	1.164	2.2	2.261	1.8	0	2.359	1.681	1.601	1.343	1.837	1.839	-0.178	0.857	0.918	0.457	-1.343	1.016	0.338	0.259
chr14	10981629	10981764	atac_L07274	prom_ens	+	ENSDART00000091169	+	prom	1.635	3.137	3.976	2.981	5.702	5.405	0.98	2.001	1.779	1.492	2.331	2.913	0.315	2.207	2.294	1.161	2.772	2.429	2.264	4.866	3.633	0.568	3.026	3.707	0	2.008	2.093	0.646	2.373	1.43	1.164	1.103	0.696	3.898	5.444	1.807	2.854	2.284	2.474	3.848	3.641	2.083	1.58	0.751	3.147	4.693	1.056	2.103	1.533	1.723	3.097	2.89	1.332	0.829
chr14	12390635	12390730	atac_L07290	prom_ens	-	ENSDART00000131343	+	prom	2.056	2.709	4.069	1.91	3.046	3.745	1.477	2.142	1.636	1.293	2.269	1.964	1.228	1.192	1.677	1.426	1.127	1.796	0	0	0	0.974	1.823	2.657	0.861	0	2.093	1.09	3.31	1.43	1.164	1.396	1.799	3.991	3.696	1.687	1.993	1.64	1.749	0	2.601	1.993	1.731	1.768	2.222	1.928	-0.081	0.225	-0.128	-0.019	-1.768	0.832	0.225	-0.037
chr14	13453103	13453255	atac_L07309	prom_ens	+	ENSDART00000054849	+	enh	0	2.158	0	0	0	1.25	0.98	0	0.721	0.787	1.133	1.964	1.371	2.892	1.929	0.419	0.799	1.161	0	0	0	1.291	2.877	1.771	0	0	0	1.43	2.237	1.43	0.949	1.014	1.164	0.543	1.136	0.644	1.878	2.099	1.118	0	1.975	0	1.566	1.145	-0.602	-0.009	-0.501	0.734	0.954	-0.026	-1.145	0.83	-1.145	0.421
chr14	13958399	13958496	atac_L07322	prom_umms	+	TCONS_00023496	+	prom	0	0	3.388	0	3.019	3.213	0	1.417	1.298	0.447	0	2.841	0.315	0.704	1.783	0.293	0.659	2.052	0	0	2.264	0.974	1.802	3.412	0	2.381	1.786	0	0	1.935	0.39	0	0.949	3.268	3.197	1.309	2.727	1.714	1.971	2.159	3.324	1.85	1.837	0.886	2.382	2.311	0.423	1.841	0.828	1.085	1.273	2.438	0.964	0.951
chr14	14661959	14662092	atac_L07346	prom_refseq	+	XM_001345030.5	+	prom	3.527	5.029	4.24	1.25	0	2.981	1.39	1.781	1.298	1.293	2.348	1.293	1.069	2.074	1.882	0.837	1.822	1.364	0	0	0	1.551	2.687	1.771	0	0	1.396	1.704	0	1.09	1.351	1.115	0.39	4.358	2.825	1.364	1.465	1.906	1.426	0	1.914	1.287	0.998	0.496	3.862	2.329	0.868	0.969	1.409	0.93	-0.496	1.417	0.791	0.501
chr14	14806806	14806885	atac_L07352	prom_umms	+	TCONS_00023521	+	prom	3.976	3.84	4.53	1.91	0	2.361	1.477	2.616	1.39	1.492	3.348	2.319	1.151	2.281	1.974	1.3	2.188	1.485	0	0	2.264	2.281	2.019	2.763	0.861	0	1.396	1.09	0	1.43	0.949	0	1.351	4.489	2.273	1.525	2.425	1.999	1.55	2.178	2.72	1.329	1.362	1.285	3.204	0.988	0.24	1.14	0.714	0.265	0.893	1.435	0.044	0.077
chr14	14836537	14836625	atac_L07354	prom_ens	+	ENSDART00000164794	+	prom	1.037	2.803	3.236	2.361	4.059	3.745	0.572	1.912	1.909	0.787	1.614	3.279	0.574	0.76	2.495	0.536	1.187	1.972	0	4.499	3.105	0.974	0	3.124	0	0	0.861	0	0	1.43	0.39	1.466	1.516	3.205	3.773	1.909	3.197	2.411	1.922	3.284	3.017	0.808	1.354	1.512	1.693	2.261	0.397	1.685	0.899	0.41	1.772	1.505	-0.705	-0.158
chr14	14841504	14841769	atac_L07356	prom_ens	+	ENSDART00000158291	+	prom	3.876	2.314	3.065	4.344	3.512	3.886	1.298	1.785	4.464	2.98	3.494	3.48	1.833	2.155	2.33	1.796	2.331	2.429	2.264	0	2.264	2.542	2.473	3.476	2.093	1.345	0.861	1.43	1.046	1.09	0.696	0.665	1.164	2.937	3.816	4.184	3.483	2.295	2.409	2.002	3.316	0.977	1.081	1.072	1.864	2.743	3.111	2.41	1.222	1.336	0.93	2.244	-0.096	0.009
chr14	14847297	14847391	atac_L07357	prom_ens	+	ENSDART00000169932	+	enh	2.871	6.409	5.242	0	3.059	4.015	0.98	1.446	0.572	0.787	1.551	2.42	1.228	2.291	2.018	1.3	3.133	2.052	2.264	0	0	1.291	4.428	3.759	0.861	0	1.786	0	3.323	2.308	1.164	3.209	1.164	5.388	3.954	0.671	2.363	2.044	2.184	0	3.831	1.695	2.429	1.507	3.881	2.447	-0.836	0.856	0.537	0.677	-1.507	2.324	0.188	0.922
chr14	15768801	15769011	atac_L07383	prom_ens	+	ENSDART00000158998	+	prom	3.653	4.213	3.653	1.25	3.821	4.527	1.39	2.031	2.511	2.98	3.612	3.224	2.258	2.768	2.643	2.236	3.087	2.052	2.264	0	2.264	3.952	3.994	2.955	1.786	2.289	2.093	1.935	2.949	2.604	0.696	1.685	1.351	3.767	4.427	2.439	3.299	2.666	2.293	2.051	3.197	2.129	2.67	1.414	2.352	3.013	1.024	1.885	1.251	0.879	0.636	1.783	0.714	1.256
chr14	16034404	16034504	atac_L07386	prom_ens	+	ENSDART00000161348	+	prom	2.647	0	3.876	3.745	2.981	4.97	1.636	2.085	2.904	2.515	1.492	3.279	1.929	2.018	2.463	1.842	2.129	3.093	2.264	0	2.264	2.13	2.542	3.476	0	0	1.396	1.09	1.935	2.85	0	1.351	1.665	3.748	4.868	2.846	3.183	2.428	3.028	2.156	3.412	1.313	2.787	1.639	2.109	3.229	1.207	1.544	0.789	1.389	0.517	1.774	-0.326	1.148
chr14	16151035	16151173	atac_L07393	prom_ens	-	ENSDART00000162431	+	prom	3.388	4.327	3.876	2.981	2.584	2.981	0.98	1.466	1.298	2.21	2.305	2.42	1.301	2.182	1.069	1.887	2.986	1.972	0	0	2.264	2.542	2.642	2.955	0	1.984	0.861	2.133	0	2.133	0.949	2.128	1.665	3.939	2.938	1.319	2.407	1.259	2.14	2.118	2.92	1.054	1.992	1.729	2.209	1.209	-0.41	0.678	-0.47	0.411	0.389	1.191	-0.676	0.262
chr14	16287890	16288096	atac_L07397	prom_ens	+	ENSDART00000106593	+	prom	2.381	3.115	2.056	1.25	2.12	3.745	1.636	1.908	3.08	2.913	3.158	3.045	1.437	2.364	2.586	1.93	2.096	2.398	2.264	0	4.019	2.542	3.374	3.202	0.861	0	1.786	1.43	2.696	2.133	1.351	1.325	0.39	2.301	3.568	2.936	3.065	2.55	2.351	3.767	3.233	1.6	2.246	0.599	1.702	2.97	2.338	2.467	1.952	1.752	3.169	2.634	1.001	1.648
chr14	16765863	16766071	atac_L07414	prom_ens	+	ENSDART00000140061	+	prom	3.653	4.016	4.318	3.413	4.597	4.611	1.909	1.355	2.191	1.492	2.64	2.98	1.974	2.08	1.677	1.485	2.412	1.749	0	0	0	0.974	2.992	2.763	0.861	1.567	0.861	1.09	1.237	1.935	1.799	1.317	1.665	4.27	4.609	2.077	2.927	1.754	1.887	0	2.805	1.01	1.836	1.61	2.66	2.998	0.467	1.317	0.144	0.277	-1.61	1.195	-0.601	0.226
chr14	16813626	16813833	atac_L07415	prom_ens	+	ENSDART00000161201	+	enh	2.381	2.605	2.647	2.361	2.937	2.361	0.98	1.121	0.856	0	0.908	0.447	0.315	0.914	0.793	0.536	1.784	1.161	0	0	0	1.291	2.501	1.291	1.396	2.305	1.786	0	2.69	1.43	0.949	0.806	1.164	2.64	2.478	0.905	0.537	0.814	1.289	0	1.584	1.889	1.739	1.108	1.531	1.369	-0.203	-0.571	-0.294	0.181	-1.108	0.476	0.781	0.631
chr14	17068402	17068483	atac_L07422	prom_refseq	-	NM_001014818.1	+	enh	1.037	0	2.056	0	0	1.25	0.721	1.586	1.094	0.447	1.696	0.447	0.793	2.005	0.793	1.596	1.256	1.364	0	0	0	1.961	0	2.13	0	0	0	1.09	2.165	1.704	1.516	2.271	0.696	1.971	1.186	1.137	0.588	0.928	1.356	0	2.044	0	1.744	0.896	1.075	0.291	0.242	-0.307	0.033	0.46	-0.896	1.148	-0.896	0.849
chr14	19258160	19258279	atac_L07449	prom_umms	+	TCONS_00023646	+	enh	1.635	0	3.388	1.25	0	1.25	0.572	0.749	0.721	0.447	1.336	1.492	0	0	0.574	0.419	0.558	0.744	0	0	0	0.568	0	1.291	0	0	0	1.09	1.754	1.09	0.949	1.203	0.949	3.243	1.159	0.724	1.477	0.522	0.725	0	1.197	0	1.177	0.978	2.265	0.18	-0.254	0.499	-0.456	-0.253	-0.978	0.219	-0.978	0.199
chr14	20156373	20156646	atac_L07455	prom_ens	+	ENSDART00000123434	+	prom	1.635	2.279	3.653	1.91	3.1	4.242	0.572	1.877	2.703	0.787	2.498	3.045	0.166	1.881	2.699	0.536	1.878	2.013	2.264	0	2.264	0.568	2.181	2.955	0	1.996	1.786	1.09	0	1.935	0.39	0.649	1.164	3.449	4.062	2.561	2.944	2.558	1.985	1.996	2.82	1.834	1.686	1.068	2.381	2.995	1.494	1.877	1.49	0.917	0.928	1.753	0.766	0.618
chr14	20342501	20342733	atac_L07457	prom_ens	+	ENSDART00000167637	+	prom	1.635	1.708	3.388	1.91	2.796	2.704	0.721	1.034	1.298	1.293	0.833	1.667	0.687	1.752	1.882	0.926	1.145	1.232	2.264	3.201	0	1.771	1.028	2.13	0.861	0	0	1.09	0	1.09	0	0.738	0.949	3.188	2.722	1.252	1.543	1.858	1.216	1.347	1.977	0	0.939	0.911	2.277	1.81	0.341	0.632	0.947	0.305	0.435	1.066	-0.911	0.027
chr14	20918622	20918706	atac_L07467	prom_ens	+	ENSDART00000144736	+	prom	2.056	0	3.769	1.91	0	4.242	1.094	1.961	1.298	1.964	2.411	1.667	1.371	1.669	1.882	0.744	1.878	1.649	0	0	2.264	2.13	0	2.955	0.861	0	1.786	1.09	0	1.935	1.351	1.509	1.351	3.661	4.132	1.362	1.741	1.866	1.668	2.173	2.854	1.704	1.85	1.364	2.298	2.769	-0.002	0.377	0.503	0.305	0.809	1.49	0.341	0.486
chr14	20929679	20929873	atac_L07468	prom_ens	+	ENSDART00000106212	+	enh	1.635	2.684	3.065	1.25	2.187	0	0.721	1.172	1.39	0.787	2.915	2.42	0.891	2.515	2.143	0.643	1.453	1.485	0	0	2.264	1.551	2.242	2.862	0	0	2.093	0.646	1.967	1.09	0.696	0.847	1.164	3.009	0.658	1.357	2.513	2.21	1.48	2.065	2.778	1.901	1.274	1.117	1.893	-0.459	0.24	1.397	1.094	0.363	0.949	1.661	0.784	0.157
chr14	21106419	21106623	atac_L07471	prom_ens	+	ENSDART00000075744	+	prom	3.653	4.042	2.647	3.413	2.956	3.413	0.98	2.194	3.052	1.823	2.853	2.687	1.301	2.375	2.364	1.161	1.55	1.749	2.264	4.296	4.323	1.771	2.789	2.281	1.786	2.322	2.093	0.646	0	1.09	0.696	1.333	0.39	2.999	3.345	2.938	2.717	2.366	1.717	4.319	2.38	2.134	0.954	0.599	2.399	2.746	2.339	2.117	1.767	1.118	3.719	1.781	1.535	0.355
chr14	21145601	21145828	atac_L07476	prom_ens	+	ENSDART00000059796	+	enh	3.876	4.596	4.594	0	2.823	2.981	0.572	1.807	1.477	2.319	2.721	3.167	1.62	2.331	2.221	1.542	2.159	1.93	0	0	2.264	1.961	3.401	3.042	1.396	2.2	2.345	2.133	2.579	2.959	1.516	1.9	1.516	4.594	2.953	1.544	3.094	2.242	1.975	2.035	3.115	2.319	2.896	1.595	2.999	1.358	-0.051	1.499	0.646	0.38	0.44	1.52	0.724	1.3
chr14	21238014	21238143	atac_L07479	prom_ens	-	ENSDART00000129743	+	enh	2.647	3.727	2.647	3.589	0	2.361	1.2	0.703	1.39	1.492	1.931	1.667	1.069	1.532	1.151	1.008	1.854	1.3	0	0	0	0.974	0	1.291	1.786	0	0	0	2.919	1.43	0.39	1.767	2.036	2.819	2.222	1.326	1.7	1.2	1.375	0	1.19	0	1.701	2.007	0.812	0.214	-0.681	-0.307	-0.808	-0.633	-2.007	-0.817	-2.007	-0.307
chr14	21336319	21336527	atac_P01498	prom_ens	-	ENSDART00000054460	+	enh	1.037	0	3.976	0	0	1.25	0.856	0.475	0.721	1.293	1.456	2.515	0.983	1.743	1.228	0.837	1.057	1.542	2.264	0	0	0.974	3.189	2.955	1.396	1.567	0	0.646	1.237	1.935	0.696	1.317	1.351	3.722	1.099	0.682	2.38	1.331	1.469	0	2.998	0.42	1.836	1.345	2.377	-0.246	-0.663	1.035	-0.014	0.124	-1.345	1.653	-0.925	0.491
chr14	21685492	21685639	atac_L07488	prom_ens	+,-	ENSDART00000128717	+	prom	2.647	2.195	2.647	1.91	2.508	2.361	0.98	1.909	4.021	2.21	3.269	2.841	1.069	1.803	2.526	1.485	2.578	2.27	2.264	0	4.323	0.974	2.098	2.542	0	0	2.345	1.09	0	1.43	0.696	0	0.696	2.596	2.381	3.872	2.904	2.451	2.313	4.136	2.492	2.188	1.308	0.624	1.973	1.757	3.248	2.28	1.828	1.69	3.512	1.869	1.565	0.685
chr14	21754336	21754523	atac_L07492	prom_umms	+	TCONS_00023725	+	prom	4.157	2.729	2.056	2.981	3.066	3.886	0.856	0.901	3.87	2.092	1.967	2.515	1.974	2.198	2.258	1.364	1.89	2.129	3.105	3.482	2.264	2.281	2.284	2.763	1.396	1.67	0.861	1.43	0	1.09	1.799	1.802	1.516	2.185	3.784	3.656	2.441	2.249	2.093	2.538	2.697	1.023	0.964	1.565	0.62	2.219	2.091	0.876	0.684	0.528	0.972	1.132	-0.543	-0.601
chr14	21819951	21820148	atac_L07494	prom_ens	+	ENSDART00000122739	+	prom	1.635	3.844	3.653	1.25	3.907	3.413	0.98	2.57	3.262	2.21	3.476	3.045	1.731	2.783	2.463	1.485	2.32	2.367	0	0	2.264	1.551	2.56	2.955	0.861	1.619	2.093	1.09	1.951	1.09	1.351	1.364	0.696	3.686	3.507	3.168	3.126	2.521	2.36	2.063	2.897	2.024	1.272	0.829	2.856	2.677	2.339	2.296	1.692	1.53	1.233	2.067	1.195	0.443
chr14	21860982	21861196	atac_P01503	prom_ens	+	ENSDART00000032141	+	enh	1.635	2.565	3.236	0	0	0	1.636	0.463	0.721	0.787	1.825	1.492	1.62	1.834	2.061	1.232	1.633	1.887	0	0	0	1.291	2.462	1.771	0	1.539	2.56	2.133	1.863	0.646	1.516	0.786	0	3.138	0	0.679	1.557	2.024	1.845	0	1.919	2.425	0.949	0.173	2.965	-0.173	0.505	1.384	1.85	1.672	-0.173	1.746	2.252	0.775
chr14	22076552	22076732	atac_L07502	prom_ens	+	ENSDART00000131489	+	prom	3.976	4.771	4.53	2.361	3.643	4.133	1.298	2.955	3.588	3.383	3.818	3.167	2.061	3.021	2.803	2.236	2.727	2.459	0	0	3.633	3.124	3.976	3.81	1.396	1.708	2.56	2.732	2.863	1.09	1.351	1.841	1.516	4.569	4.068	3.507	3.287	2.839	2.503	3.415	3.837	2.458	1.543	1.571	2.999	2.498	1.937	1.716	1.268	0.932	1.845	2.266	0.888	-0.028
chr14	22132190	22132421	atac_L07506	prom_ens	+	ENSDART00000109065	+	prom	1.037	1.713	3.065	2.361	2.801	3.745	0.217	1.789	1.845	0.447	3.269	2.21	0.315	2.311	1.929	0.536	2.217	1.972	0	0	3.105	1.291	2.047	1.551	0	1.468	0.861	0.646	3.059	1.935	0.39	1.881	0.696	2.89	3.609	1.835	2.477	2.009	2.021	2.844	1.658	0.996	2.223	1.005	1.885	2.604	0.83	1.472	1.003	1.016	1.838	0.652	-0.009	1.218
chr14	22132877	22132976	atac_L07507	prom_ens	+	ENSDART00000138274	+	prom	3.065	0	3.976	3.745	5.163	5.091	1.779	1.789	2.29	2.515	2.222	2.766	2.103	1.793	2.143	2.129	2.739	2.27	3.105	0	0	1.551	2.554	2.955	0.861	0	0.861	1.935	1.946	1.43	0.696	1.36	1.516	3.849	5.098	2.251	2.725	2.115	2.319	0	2.923	0.801	1.484	1.503	2.346	3.595	0.749	1.222	0.612	0.816	-1.503	1.42	-0.701	-0.018
chr14	22390799	22390893	atac_L07510	prom_ens	-	ENSDART00000054396	+	prom	3.527	3.608	4.715	2.361	3.97	2.981	0.856	1.843	0.98	1.062	1.551	1.492	1.151	1.201	1.228	1.008	0	0.744	2.264	0	2.264	0.974	0	2.13	0	2.417	1.786	1.704	2.001	1.09	0.696	0	1.351	4.647	3.098	1.078	1.498	1.226	0.693	2.162	2.031	1.853	1.195	1.273	3.373	1.825	-0.195	0.224	-0.048	-0.58	0.889	0.758	0.579	-0.078
chr14	22397328	22397504	atac_L07511	prom_ens	+	ENSDART00000124072	+	prom	3.653	5.421	4.318	2.704	4.829	4.242	1.39	1.912	1.298	0.787	2.357	2.21	0.983	2.159	2.018	0.926	1.954	1.749	0	0	0	1.551	2.973	1.771	0.861	0	1.396	1.09	2.073	1.09	0.949	1.466	1.351	4.547	4.347	1.408	2.233	2.04	1.781	0	2.027	1.256	1.287	1.368	3.178	2.978	0.04	0.865	0.672	0.413	-1.368	0.659	-0.113	-0.081
chr14	23076029	23076219	atac_L07520	prom_ens	+	ENSDART00000164526	+	prom	3.653	3.892	3.065	2.704	3.046	4.015	0.721	1.189	1.558	1.823	2.529	2.319	1.501	1.96	0.983	0.837	1.127	0.926	0	0	0	1.961	1.823	0.974	0.861	1.655	1.396	1.43	0	1.704	1.351	1.396	0.696	3.233	3.898	1.505	2.355	1.19	0.96	0	1.148	1.441	1.535	0.833	2.4	3.064	0.672	1.522	0.357	0.126	-0.833	0.315	0.608	0.702
chr14	23593964	23594067	atac_L07527	prom_ens	+	ENSDART00000163682	+	prom	2.056	2.611	3.065	1.91	2.944	3.413	0.405	2.303	3.548	0.787	3.008	3.432	1.151	2.187	2.586	0.419	1.399	2.091	0	0	4.019	1.291	2.507	2.763	0.861	2.311	2.56	0.646	0	2.133	0.39	1.325	0.696	3.028	3.375	3.468	3.397	2.553	2.039	3.887	2.741	2.539	2.025	0.768	2.26	2.607	2.7	2.63	1.785	1.271	3.119	1.973	1.771	1.258
chr14	23717113	23717224	atac_L07531	prom_ens	+	ENSDART00000006373	+	prom	2.871	4.627	5.116	2.704	5.003	5.257	1.298	2.611	2.029	2.21	3.197	3.167	2.221	3.12	2.182	1.972	2.6	2.091	0	0	2.264	0.974	2.418	2.417	0.861	0	1.396	2.308	2.606	1.43	1.164	0	1.665	5.074	5.233	2.099	3.17	2.309	2.151	2.145	2.417	1.304	1.601	1.562	3.511	3.671	0.536	1.607	0.746	0.588	0.583	0.855	-0.258	0.038
chr14	24283894	24284022	atac_L07543	prom_ens	+	ENSDART00000172868	+	prom	2.056	3.737	4.826	0	2.675	4.765	1.298	1.18	1.636	1.062	2.393	2.515	0.983	2.267	2.103	0.536	1.862	2.165	0	0	0	0.974	2.254	3.124	0.861	2.883	0.861	0	0	1.43	0.949	2.212	1.351	4.736	4.634	1.591	2.502	2.122	2.134	0	3.048	1.291	1.323	1.479	3.258	3.156	0.112	1.023	0.644	0.655	-1.479	1.569	-0.187	-0.156
chr14	24410581	24410722	atac_L07547	prom_ens	-	ENSDART00000125923	+	enh	4.069	3.993	3.876	1.91	0	1.25	1.094	1.446	0.856	1.823	3.323	2.21	1.677	2.158	1.562	0.926	2.067	1.485	0	0	0	2.281	2.144	2.281	0	2.763	1.786	1.43	2.323	1.09	0.39	1.07	1.516	3.891	1.143	0.944	2.404	1.65	1.571	0	2.265	1.949	1.313	1.468	2.423	-0.325	-0.524	0.936	0.182	0.103	-1.468	0.797	0.481	-0.155
